 >TARCYL  cylindrical target: Length= 20.0000 Diameter=  3.0000
      4500 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    428 -22   2  -4 1 1 1
    429 -21   2  -4 1 1 1
    430 -20   2  -4 1 1 1
    431 -19   2  -4 1 1 1
    432 -18   2  -4 1 1 1
    433 -17   2  -4 1 1 1
    434 -16   2  -4 1 1 1
    435 -15   2  -4 1 1 1
    436 -14   2  -4 1 1 1
    437 -13   2  -4 1 1 1
    438 -12   2  -4 1 1 1
    439 -11   2  -4 1 1 1
    440 -10   2  -4 1 1 1
    441  -9   2  -4 1 1 1
    442  -8   2  -4 1 1 1
    443  -7   2  -4 1 1 1
    444  -6   2  -4 1 1 1
    445  -5   2  -4 1 1 1
    446  -4   2  -4 1 1 1
    447  -3   2  -4 1 1 1
    448  -2   2  -4 1 1 1
    449  -1   2  -4 1 1 1
    450   0   2  -4 1 1 1
    451   1   2  -4 1 1 1
    452   2   2  -4 1 1 1
    453   3   2  -4 1 1 1
    454   4   2  -4 1 1 1
    455   5   2  -4 1 1 1
    456   6   2  -4 1 1 1
    457   7   2  -4 1 1 1
    458   8   2  -4 1 1 1
    459   9   2  -4 1 1 1
    460  10   2  -4 1 1 1
    461  11   2  -4 1 1 1
    462  12   2  -4 1 1 1
    463  13   2  -4 1 1 1
    464  14   2  -4 1 1 1
    465  15   2  -4 1 1 1
    466  16   2  -4 1 1 1
    467  17   2  -4 1 1 1
    468  18   2  -4 1 1 1
    469  19   2  -4 1 1 1
    470  20   2  -4 1 1 1
    471  21   2  -4 1 1 1
    472  22   2  -4 1 1 1
    473  23   2  -4 1 1 1
    474  24   2  -4 1 1 1
    475  25   2  -4 1 1 1
    476  26   2  -4 1 1 1
    477  27   2  -4 1 1 1
    478  28   2  -4 1 1 1
    479  29   2  -4 1 1 1
    480  30   2  -4 1 1 1
    481 -29  -3  -3 1 1 1
    482 -28  -3  -3 1 1 1
    483 -27  -3  -3 1 1 1
    484 -26  -3  -3 1 1 1
    485 -25  -3  -3 1 1 1
    486 -24  -3  -3 1 1 1
    487 -23  -3  -3 1 1 1
    488 -22  -3  -3 1 1 1
    489 -21  -3  -3 1 1 1
    490 -20  -3  -3 1 1 1
    491 -19  -3  -3 1 1 1
    492 -18  -3  -3 1 1 1
    493 -17  -3  -3 1 1 1
    494 -16  -3  -3 1 1 1
    495 -15  -3  -3 1 1 1
    496 -14  -3  -3 1 1 1
    497 -13  -3  -3 1 1 1
    498 -12  -3  -3 1 1 1
    499 -11  -3  -3 1 1 1
    500 -10  -3  -3 1 1 1
    501  -9  -3  -3 1 1 1
    502  -8  -3  -3 1 1 1
    503  -7  -3  -3 1 1 1
    504  -6  -3  -3 1 1 1
    505  -5  -3  -3 1 1 1
    506  -4  -3  -3 1 1 1
    507  -3  -3  -3 1 1 1
    508  -2  -3  -3 1 1 1
    509  -1  -3  -3 1 1 1
    510   0  -3  -3 1 1 1
    511   1  -3  -3 1 1 1
    512   2  -3  -3 1 1 1
    513   3  -3  -3 1 1 1
    514   4  -3  -3 1 1 1
    515   5  -3  -3 1 1 1
    516   6  -3  -3 1 1 1
    517   7  -3  -3 1 1 1
    518   8  -3  -3 1 1 1
    519   9  -3  -3 1 1 1
    520  10  -3  -3 1 1 1
    521  11  -3  -3 1 1 1
    522  12  -3  -3 1 1 1
    523  13  -3  -3 1 1 1
    524  14  -3  -3 1 1 1
    525  15  -3  -3 1 1 1
    526  16  -3  -3 1 1 1
    527  17  -3  -3 1 1 1
    528  18  -3  -3 1 1 1
    529  19  -3  -3 1 1 1
    530  20  -3  -3 1 1 1
    531  21  -3  -3 1 1 1
    532  22  -3  -3 1 1 1
    533  23  -3  -3 1 1 1
    534  24  -3  -3 1 1 1
    535  25  -3  -3 1 1 1
    536  26  -3  -3 1 1 1
    537  27  -3  -3 1 1 1
    538  28  -3  -3 1 1 1
    539  29  -3  -3 1 1 1
    540  30  -3  -3 1 1 1
    541 -29  -2  -3 1 1 1
    542 -28  -2  -3 1 1 1
    543 -27  -2  -3 1 1 1
