 >TARCYL  cylindrical target: Length= 66.0000 Diameter= 20.0000
     20856 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.50000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    254  23   1  -9 1 1 1
    255  24   1  -9 1 1 1
    256  25   1  -9 1 1 1
    257  26   1  -9 1 1 1
    258  27   1  -9 1 1 1
    259  28   1  -9 1 1 1
    260  29   1  -9 1 1 1
    261  30   1  -9 1 1 1
    262  31   1  -9 1 1 1
    263  32   1  -9 1 1 1
    264  33   1  -9 1 1 1
    265 -32   2  -9 1 1 1
    266 -31   2  -9 1 1 1
    267 -30   2  -9 1 1 1
    268 -29   2  -9 1 1 1
    269 -28   2  -9 1 1 1
    270 -27   2  -9 1 1 1
    271 -26   2  -9 1 1 1
    272 -25   2  -9 1 1 1
    273 -24   2  -9 1 1 1
    274 -23   2  -9 1 1 1
    275 -22   2  -9 1 1 1
    276 -21   2  -9 1 1 1
    277 -20   2  -9 1 1 1
    278 -19   2  -9 1 1 1
    279 -18   2  -9 1 1 1
    280 -17   2  -9 1 1 1
    281 -16   2  -9 1 1 1
    282 -15   2  -9 1 1 1
    283 -14   2  -9 1 1 1
    284 -13   2  -9 1 1 1
    285 -12   2  -9 1 1 1
    286 -11   2  -9 1 1 1
    287 -10   2  -9 1 1 1
    288  -9   2  -9 1 1 1
    289  -8   2  -9 1 1 1
    290  -7   2  -9 1 1 1
    291  -6   2  -9 1 1 1
    292  -5   2  -9 1 1 1
    293  -4   2  -9 1 1 1
    294  -3   2  -9 1 1 1
    295  -2   2  -9 1 1 1
    296  -1   2  -9 1 1 1
    297   0   2  -9 1 1 1
    298   1   2  -9 1 1 1
    299   2   2  -9 1 1 1
    300   3   2  -9 1 1 1
    301   4   2  -9 1 1 1
    302   5   2  -9 1 1 1
    303   6   2  -9 1 1 1
    304   7   2  -9 1 1 1
    305   8   2  -9 1 1 1
    306   9   2  -9 1 1 1
    307  10   2  -9 1 1 1
    308  11   2  -9 1 1 1
    309  12   2  -9 1 1 1
    310  13   2  -9 1 1 1
    311  14   2  -9 1 1 1
    312  15   2  -9 1 1 1
    313  16   2  -9 1 1 1
    314  17   2  -9 1 1 1
    315  18   2  -9 1 1 1
    316  19   2  -9 1 1 1
    317  20   2  -9 1 1 1
    318  21   2  -9 1 1 1
    319  22   2  -9 1 1 1
    320  23   2  -9 1 1 1
    321  24   2  -9 1 1 1
    322  25   2  -9 1 1 1
    323  26   2  -9 1 1 1
    324  27   2  -9 1 1 1
    325  28   2  -9 1 1 1
    326  29   2  -9 1 1 1
    327  30   2  -9 1 1 1
    328  31   2  -9 1 1 1
    329  32   2  -9 1 1 1
    330  33   2  -9 1 1 1
    331 -32   3  -9 1 1 1
    332 -31   3  -9 1 1 1
    333 -30   3  -9 1 1 1
    334 -29   3  -9 1 1 1
    335 -28   3  -9 1 1 1
    336 -27   3  -9 1 1 1
    337 -26   3  -9 1 1 1
    338 -25   3  -9 1 1 1
    339 -24   3  -9 1 1 1
    340 -23   3  -9 1 1 1
    341 -22   3  -9 1 1 1
    342 -21   3  -9 1 1 1
    343 -20   3  -9 1 1 1
    344 -19   3  -9 1 1 1
    345 -18   3  -9 1 1 1
    346 -17   3  -9 1 1 1
    347 -16   3  -9 1 1 1
    348 -15   3  -9 1 1 1
    349 -14   3  -9 1 1 1
    350 -13   3  -9 1 1 1
    351 -12   3  -9 1 1 1
    352 -11   3  -9 1 1 1
    353 -10   3  -9 1 1 1
    354  -9   3  -9 1 1 1
    355  -8   3  -9 1 1 1
    356  -7   3  -9 1 1 1
    357  -6   3  -9 1 1 1
    358  -5   3  -9 1 1 1
    359  -4   3  -9 1 1 1
    360  -3   3  -9 1 1 1
    361  -2   3  -9 1 1 1
    362  -1   3  -9 1 1 1
    363   0   3  -9 1 1 1
    364   1   3  -9 1 1 1
    365   2   3  -9 1 1 1
    366   3   3  -9 1 1 1
    367   4   3  -9 1 1 1
    368   5   3  -9 1 1 1
    369   6   3  -9 1 1 1
    370   7   3  -9 1 1 1
    371   8   3  -9 1 1 1
    372   9   3  -9 1 1 1
    373  10   3  -9 1 1 1
    374  11   3  -9 1 1 1
    375  12   3  -9 1 1 1
    376  13   3  -9 1 1 1
    377  14   3  -9 1 1 1
    378  15   3  -9 1 1 1
    379  16   3  -9 1 1 1
    380  17   3  -9 1 1 1
    381  18   3  -9 1 1 1
    382  19   3  -9 1 1 1
    383  20   3  -9 1 1 1
    384  21   3  -9 1 1 1
    385  22   3  -9 1 1 1
    386  23   3  -9 1 1 1
    387  24   3  -9 1 1 1
    388  25   3  -9 1 1 1
    389  26   3  -9 1 1 1
    390  27   3  -9 1 1 1
    391  28   3  -9 1 1 1
    392  29   3  -9 1 1 1
    393  30   3  -9 1 1 1
    394  31   3  -9 1 1 1
    395  32   3  -9 1 1 1
    396  33   3  -9 1 1 1
    397 -32  -4  -8 1 1 1
    398 -31  -4  -8 1 1 1
    399 -30  -4  -8 1 1 1
    400 -29  -4  -8 1 1 1
    401 -28  -4  -8 1 1 1
    402 -27  -4  -8 1 1 1
    403 -26  -4  -8 1 1 1
    404 -25  -4  -8 1 1 1
    405 -24  -4  -8 1 1 1
    406 -23  -4  -8 1 1 1
    407 -22  -4  -8 1 1 1
    408 -21  -4  -8 1 1 1
    409 -20  -4  -8 1 1 1
    410 -19  -4  -8 1 1 1
    411 -18  -4  -8 1 1 1
    412 -17  -4  -8 1 1 1
    413 -16  -4  -8 1 1 1
    414 -15  -4  -8 1 1 1
    415 -14  -4  -8 1 1 1
    416 -13  -4  -8 1 1 1
    417 -12  -4  -8 1 1 1
    418 -11  -4  -8 1 1 1
    419 -10  -4  -8 1 1 1
    420  -9  -4  -8 1 1 1
    421  -8  -4  -8 1 1 1
    422  -7  -4  -8 1 1 1
    423  -6  -4  -8 1 1 1
    424  -5  -4  -8 1 1 1
    425  -4  -4  -8 1 1 1
    426  -3  -4  -8 1 1 1
    427  -2  -4  -8 1 1 1
    428  -1  -4  -8 1 1 1
    429   0  -4  -8 1 1 1
    430   1  -4  -8 1 1 1
    431   2  -4  -8 1 1 1
    432   3  -4  -8 1 1 1
    433   4  -4  -8 1 1 1
    434   5  -4  -8 1 1 1
    435   6  -4  -8 1 1 1
    436   7  -4  -8 1 1 1
    437   8  -4  -8 1 1 1
    438   9  -4  -8 1 1 1
    439  10  -4  -8 1 1 1
    440  11  -4  -8 1 1 1
    441  12  -4  -8 1 1 1
    442  13  -4  -8 1 1 1
    443  14  -4  -8 1 1 1
    444  15  -4  -8 1 1 1
    445  16  -4  -8 1 1 1
    446  17  -4  -8 1 1 1
    447  18  -4  -8 1 1 1
    448  19  -4  -8 1 1 1
    449  20  -4  -8 1 1 1
    450  21  -4  -8 1 1 1
    451  22  -4  -8 1 1 1
    452  23  -4  -8 1 1 1
    453  24  -4  -8 1 1 1
    454  25  -4  -8 1 1 1
    455  26  -4  -8 1 1 1
    456  27  -4  -8 1 1 1
    457  28  -4  -8 1 1 1
    458  29  -4  -8 1 1 1
    459  30  -4  -8 1 1 1
    460  31  -4  -8 1 1 1
    461  32  -4  -8 1 1 1
    462  33  -4  -8 1 1 1
    463 -32  -3  -8 1 1 1
    464 -31  -3  -8 1 1 1
    465 -30  -3  -8 1 1 1
    466 -29  -3  -8 1 1 1
    467 -28  -3  -8 1 1 1
    468 -27  -3  -8 1 1 1
    469 -26  -3  -8 1 1 1
    470 -25  -3  -8 1 1 1
    471 -24  -3  -8 1 1 1
    472 -23  -3  -8 1 1 1
    473 -22  -3  -8 1 1 1
    474 -21  -3  -8 1 1 1
    475 -20  -3  -8 1 1 1
    476 -19  -3  -8 1 1 1
    477 -18  -3  -8 1 1 1
    478 -17  -3  -8 1 1 1
    479 -16  -3  -8 1 1 1
    480 -15  -3  -8 1 1 1
    481 -14  -3  -8 1 1 1
    482 -13  -3  -8 1 1 1
    483 -12  -3  -8 1 1 1
    484 -11  -3  -8 1 1 1
    485 -10  -3  -8 1 1 1
    486  -9  -3  -8 1 1 1
    487  -8  -3  -8 1 1 1
    488  -7  -3  -8 1 1 1
    489  -6  -3  -8 1 1 1
    490  -5  -3  -8 1 1 1
    491  -4  -3  -8 1 1 1
    492  -3  -3  -8 1 1 1
    493  -2  -3  -8 1 1 1
    494  -1  -3  -8 1 1 1
    495   0  -3  -8 1 1 1
    496   1  -3  -8 1 1 1
    497   2  -3  -8 1 1 1
    498   3  -3  -8 1 1 1
    499   4  -3  -8 1 1 1
    500   5  -3  -8 1 1 1
    501   6  -3  -8 1 1 1
    502   7  -3  -8 1 1 1
    503   8  -3  -8 1 1 1
    504   9  -3  -8 1 1 1
    505  10  -3  -8 1 1 1
    506  11  -3  -8 1 1 1
    507  12  -3  -8 1 1 1
    508  13  -3  -8 1 1 1
    509  14  -3  -8 1 1 1
    510  15  -3  -8 1 1 1
    511  16  -3  -8 1 1 1
    512  17  -3  -8 1 1 1
    513  18  -3  -8 1 1 1
    514  19  -3  -8 1 1 1
    515  20  -3  -8 1 1 1
    516  21  -3  -8 1 1 1
    517  22  -3  -8 1 1 1
    518  23  -3  -8 1 1 1
    519  24  -3  -8 1 1 1
    520  25  -3  -8 1 1 1
    521  26  -3  -8 1 1 1
    522  27  -3  -8 1 1 1
    523  28  -3  -8 1 1 1
    524  29  -3  -8 1 1 1
    525  30  -3  -8 1 1 1
    526  31  -3  -8 1 1 1
    527  32  -3  -8 1 1 1
    528  33  -3  -8 1 1 1
    529 -32  -2  -8 1 1 1
    530 -31  -2  -8 1 1 1
    531 -30  -2  -8 1 1 1
    532 -29  -2  -8 1 1 1
    533 -28  -2  -8 1 1 1
    534 -27  -2  -8 1 1 1
    535 -26  -2  -8 1 1 1
    536 -25  -2  -8 1 1 1
    537 -24  -2  -8 1 1 1
    538 -23  -2  -8 1 1 1
    539 -22  -2  -8 1 1 1
    540 -21  -2  -8 1 1 1
    541 -20  -2  -8 1 1 1
    542 -19  -2  -8 1 1 1
    543 -18  -2  -8 1 1 1
    544 -17  -2  -8 1 1 1
    545 -16  -2  -8 1 1 1
    546 -15  -2  -8 1 1 1
    547 -14  -2  -8 1 1 1
    548 -13  -2  -8 1 1 1
    549 -12  -2  -8 1 1 1
    550 -11  -2  -8 1 1 1
    551 -10  -2  -8 1 1 1
    552  -9  -2  -8 1 1 1
    553  -8  -2  -8 1 1 1
    554  -7  -2  -8 1 1 1
    555  -6  -2  -8 1 1 1
    556  -5  -2  -8 1 1 1
    557  -4  -2  -8 1 1 1
    558  -3  -2  -8 1 1 1
    559  -2  -2  -8 1 1 1
    560  -1  -2  -8 1 1 1
    561   0  -2  -8 1 1 1
    562   1  -2  -8 1 1 1
    563   2  -2  -8 1 1 1
    564   3  -2  -8 1 1 1
    565   4  -2  -8 1 1 1
    566   5  -2  -8 1 1 1
    567   6  -2  -8 1 1 1
    568   7  -2  -8 1 1 1
    569   8  -2  -8 1 1 1
    570   9  -2  -8 1 1 1
    571  10  -2  -8 1 1 1
    572  11  -2  -8 1 1 1
    573  12  -2  -8 1 1 1
    574  13  -2  -8 1 1 1
    575  14  -2  -8 1 1 1
    576  15  -2  -8 1 1 1
    577  16  -2  -8 1 1 1
    578  17  -2  -8 1 1 1
    579  18  -2  -8 1 1 1
    580  19  -2  -8 1 1 1
    581  20  -2  -8 1 1 1
    582  21  -2  -8 1 1 1
    583  22  -2  -8 1 1 1
    584  23  -2  -8 1 1 1
    585  24  -2  -8 1 1 1
    586  25  -2  -8 1 1 1
    587  26  -2  -8 1 1 1
    588  27  -2  -8 1 1 1
    589  28  -2  -8 1 1 1
    590  29  -2  -8 1 1 1
    591  30  -2  -8 1 1 1
    592  31  -2  -8 1 1 1
    593  32  -2  -8 1 1 1
    594  33  -2  -8 1 1 1
    595 -32  -1  -8 1 1 1
    596 -31  -1  -8 1 1 1
    597 -30  -1  -8 1 1 1
    598 -29  -1  -8 1 1 1
    599 -28  -1  -8 1 1 1
    600 -27  -1  -8 1 1 1
    601 -26  -1  -8 1 1 1
    602 -25  -1  -8 1 1 1
    603 -24  -1  -8 1 1 1
    604 -23  -1  -8 1 1 1
    605 -22  -1  -8 1 1 1
    606 -21  -1  -8 1 1 1
    607 -20  -1  -8 1 1 1
    608 -19  -1  -8 1 1 1
    609 -18  -1  -8 1 1 1
    610 -17  -1  -8 1 1 1
    611 -16  -1  -8 1 1 1
    612 -15  -1  -8 1 1 1
    613 -14  -1  -8 1 1 1
    614 -13  -1  -8 1 1 1
    615 -12  -1  -8 1 1 1
    616 -11  -1  -8 1 1 1
    617 -10  -1  -8 1 1 1
    618  -9  -1  -8 1 1 1
    619  -8  -1  -8 1 1 1
    620  -7  -1  -8 1 1 1
    621  -6  -1  -8 1 1 1
    622  -5  -1  -8 1 1 1
    623  -4  -1  -8 1 1 1
    624  -3  -1  -8 1 1 1
    625  -2  -1  -8 1 1 1
    626  -1  -1  -8 1 1 1
    627   0  -1  -8 1 1 1
    628   1  -1  -8 1 1 1
    629   2  -1  -8 1 1 1
    630   3  -1  -8 1 1 1
    631   4  -1  -8 1 1 1
    632   5  -1  -8 1 1 1
    633   6  -1  -8 1 1 1
    634   7  -1  -8 1 1 1
    635   8  -1  -8 1 1 1
    636   9  -1  -8 1 1 1
    637  10  -1  -8 1 1 1
    638  11  -1  -8 1 1 1
    639  12  -1  -8 1 1 1
    640  13  -1  -8 1 1 1
    641  14  -1  -8 1 1 1
    642  15  -1  -8 1 1 1
    643  16  -1  -8 1 1 1
    644  17  -1  -8 1 1 1
    645  18  -1  -8 1 1 1
    646  19  -1  -8 1 1 1
    647  20  -1  -8 1 1 1
    648  21  -1  -8 1 1 1
    649  22  -1  -8 1 1 1
    650  23  -1  -8 1 1 1
    651  24  -1  -8 1 1 1
    652  25  -1  -8 1 1 1
    653  26  -1  -8 1 1 1
    654  27  -1  -8 1 1 1
    655  28  -1  -8 1 1 1
    656  29  -1  -8 1 1 1
    657  30  -1  -8 1 1 1
    658  31  -1  -8 1 1 1
    659  32  -1  -8 1 1 1
    660  33  -1  -8 1 1 1
    661 -32   0  -8 1 1 1
    662 -31   0  -8 1 1 1
    663 -30   0  -8 1 1 1
    664 -29   0  -8 1 1 1
    665 -28   0  -8 1 1 1
    666 -27   0  -8 1 1 1
    667 -26   0  -8 1 1 1
    668 -25   0  -8 1 1 1
    669 -24   0  -8 1 1 1
    670 -23   0  -8 1 1 1
    671 -22   0  -8 1 1 1
    672 -21   0  -8 1 1 1
    673 -20   0  -8 1 1 1
    674 -19   0  -8 1 1 1
    675 -18   0  -8 1 1 1
    676 -17   0  -8 1 1 1
    677 -16   0  -8 1 1 1
    678 -15   0  -8 1 1 1
    679 -14   0  -8 1 1 1
    680 -13   0  -8 1 1 1
    681 -12   0  -8 1 1 1
